tp,t,person_time,n
1,15,373515,8
2,45,371175,12
3,75,369270,7
4,105,367515,5
5,135,366120,5
6,165,364815,2
7,195,363225,2
8,225,360810,2
9,255,357345,2
10,285,352155,2
11,315,344445,0
12,345,333000,4
13,375,320055,6
14,405,308235,13
15,435,299025,22
16,465,294675,21
17,495,293145,14
18,525,291945,13
19,555,290790,4
20,585,286620,2
21,615,279480,3
22,645,264540,1
23,675,229770,3
24,705,173115,0
25,735,108660,1
26,765,52575,0
27,795,14850,0
28,825,1050,0
